"Title","DateAdded","PaperRank","Domain","Authors","Year","DOI","PrimaryURL","Access","AbstractMini","WhyRelevant","Owner","GlobalScore","InternalScore","CombinedScore","TagMatches","MatchedTags"
"Recent trends in non-thermal plasma and plasma activated water Effect on quality attributes mechanism of interaction and potential application in food and agriculture","16/03/2026 21:00","32","","Sunil Pipliya;Sitesh Kumar;Nikhil Babar;Prem Prakash Srivastav","2023","10.1016/j.focha.2023.100249","https://doi.org/10.1016/j.focha.2023.100249","[""OPEN""]","Revisión open access sobre NTP y PAW incluyendo mecanismos y efectos en calidad.","Marco comparativo útil para análisis riesgo beneficio.","","34.5","0.0","0.0","0","[]"
"A comprehensive review on cold plasma applications in the food industry","16/03/2026 21:00","31","","Raju Sasikumar;Selva Kumar T.;Irengbam Barun Mangang;G. Kaviarasu;Ravinder Kaushik;Paul Mansingh;Vidisha Tomer;Amit K. Jaiswal","2025","10.1039/d5fb00148j","https://doi.org/10.1039/D5FB00148J","[""OPEN""]","Review de aplicaciones de cold plasma en industria alimentaria enfocado en inactivación microbiana y calidad.","Base sólida para evaluar NTP y plasma en sanitización industrial.","","57.4","0.0","0.0","0","[]"
"Interactions Between Fermentation Temperature and Yeast Strain: Impacts on Polyfunctional Thiol Release and Beer Aroma","","30","[""Brewing & Process""]","Rania S. Samia; Cédric Chenot; Aaron Shayevitz; Timo Fischborn; Thomas H. Shellhammer","2026","10.1080/03610470.2025.2593042","https://doi.org/10.1080/03610470.2025.2593042","[""OPEN""]","Examines how fermentation temperature (15–30 °C) and five commercial yeast strains interact to modulate polyfunctional thiol (3SH, 4MSP, 3S4MP) release in pilot-scale Cascade-hopped beers, reporting temperature-dependent 3SH increases of 33–72 %.","Directly actionable for brewers tuning fermentation temperature and yeast selection to maximise tropical thiol expression in hop-forward beers.","MANUEL AGUINAGA CABREDO;JORDI ROYES BUISAN","99.2","20.2","44.8","1","[{""tag"": ""Coagulation/flocculation optimization for effluents"", ""domain"": ""Water & Environment"", ""theme"": ""Industrial effluent"", ""strength"": 0.5, ""tagScore"": 78, ""phrases"": [""pac""], ""domainMatch"": false}]"
"Assessing the effectiveness of a novel bacteriophage in preventing biofilm formation by the beer-spoilage bacterium Pediococcus damnosus on stainless steel surface","16/03/2026 21:00","29","","M. A. Abouelkheir; M. A. Abdallah; E. M. Ismail; M. A. El-Sayed; et al.","2025","10.1016/j.ijfoodmicro.2025.111064","https://doi.org/10.1016/j.ijfoodmicro.2025.111064","[""PAYWALL""]","Evaluates a bacteriophage intervention to prevent Pediococcus damnosus biofilm formation on stainless steel, assessing efficacy under relevant conditions for brewery hygiene control.","Alternative biofilm-control lever (phages) for brewery-relevant spoilers; useful for non-chemical mitigation concepts and for understanding practical constraints on deployment.","","76.8","16.6","35.7","1","[{""tag"": ""Biofilm control in breweries"", ""domain"": ""Brewing & Process"", ""theme"": ""Hygiene/Microbiology"", ""strength"": 0.357, ""tagScore"": 90, ""phrases"": [""pediococcus""], ""domainMatch"": false}]"
"Intelligent industrial cleaning: a multi-sensor approach utilising machine learning-based regression","16/03/2026 21:00","28","","Alessandro Simeone; Elliot Woolley; Josep Escrig; Nicholas James Watson","2020","10.3390/s20133642","https://www.mdpi.com/1424-8220/20/13/3642","[""OPEN""]","Presents a multi-sensor industrial cleaning setup and applies machine-learning regression to estimate cleaning state/performance, enabling smarter end-point detection and resource-efficient operation.","Relevant for digitising CIP: shifts validation from fixed recipes to state-based control, potentially reducing over-cleaning (water/chemicals/time) while managing hygiene risk.","","61.0","0.0","0.0","0","[]"
"Is cleaning in place (CIP) ready for the future? - A critical assessment","16/03/2026 21:00","27","","Arjan J. Van Asselt; Holly A. Huellemeier; Harald J Schuten; Wolfgang Augustin","2025","10.1016/j.fbp.2025.09.022","https://doi.org/10.1016/j.fbp.2025.09.022","[""PAYWALL""]","Reviews CIP unit operations and cleaning chemistries, then synthesises environmental impact drivers (water, energy, chemicals, wastewater) and mitigation options including alternative disinfectants and process monitoring.","Good baseline to structure a 'CIP alternatives' roadmap with a defensible LCA/footprint framing and a map of levers beyond chemistry alone.","","77.7","20.2","39.6","1","[{""tag"": ""Coagulation/flocculation optimization for effluents"", ""domain"": ""Water & Environment"", ""theme"": ""Industrial effluent"", ""strength"": 0.5, ""tagScore"": 78, ""phrases"": [""pac""], ""domainMatch"": false}]"
"Enhancing clean-in-place system sustainability with recurrent neural network and multi-objective optimization techniques","16/03/2026 21:00","26","[""Brewing & Process""]","R. Sislian; P. R. P. Allegro; R. Gedraite; G. O. Meloni; P. R. S. Oliveira; F. V. Silva; D. L. Toufen","2026","10.1007/s13762-025-06801-x","https://doi.org/10.1007/s13762-025-06801-x","[""PAYWALL""]","Uses lab-scale CIP data to train an LSTM model and applies NSGA-II multi-objective optimisation to reduce rinse-water consumption under pulsed/variable flow setpoints; reports substantial water and time reductions vs constant-flow baselines.","Practical pathway to reduce CIP water footprint using soft sensors + optimisation, with quantified trade-offs (RMSE vs litres/time) and a validation approach.","","88.0","0.0","0.0","0","[]"
"Plasma-activated water in agriculture, food safety, and healthcare","16/03/2026 10:00","25","[""Brewing & Process""]","Nguyen Van Duc Long;Sourjo Sengupta; Changping Zhuang; Katharina Richter; Volker Hessel","2026","10.1016/j.cej.2025.172535","https://doi.org/10.1016/j.cej.2025.172535","[""OPEN""]","Reviews plasma-activated water (PAW): generation methods, reactive species chemistry, stability and application evidence across agriculture, food safety/disinfection and healthcare.","Evidence base for PAW as a chemical-lean antimicrobial and cleaning adjunct; useful to benchmark PAW vs electrolyzed water and to identify the real constraints (species stability, dose, material compatibility).","","85.6","57.8","70.3","3","[{""tag"": ""Micro/nanobubbles for hygiene and process"", ""domain"": ""Brewing & Process"", ""theme"": ""Process Intensification"", ""strength"": 0.583, ""tagScore"": 85, ""phrases"": [""disinfection""], ""domainMatch"": true}, {""tag"": ""CIP alternatives (chemical-free, enzyme, ozone, electrolyzed water)"", ""domain"": ""Brewing & Process"", ""theme"": ""CIP/Cleaning"", ""strength"": 0.35, ""tagScore"": 92, ""phrases"": [""electrolyzed water""], ""domainMatch"": true}, {""tag"": ""Lactic acid bacteria in brewing (sour, stability, bioprotection)"", ""domain"": ""Biotech applied"", ""theme"": ""Microorganisms"", ""strength"": 0.357, ""tagScore"": 84, ""phrases"": [""stability""], ""domainMatch"": false}]"
"Fungal foam: Effect of different substrates on the growth performance, process efficiency, and material properties","16/03/2026 1:00","24","[""Byproducts & Circularity"",""Materials & Packaging""]","Nur Mawaddah Majib; Noorulnajwa Diyana Yaacob; Sam Sung Ting; Nor Munirah Rohaizad","2026","10.1016/j.scenv.2026.100314","https://doi.org/10.1016/j.scenv.2026.100314","[""OPEN""]","Compares fungal-foam/mycelium-material production on different substrates, quantifying effects on growth performance, process efficiency and resulting material properties relevant to scale-up and application fit.","Directly relevant for exploring mycelium-based materials from agro-industrial side streams (including bagasse) and for setting screening KPIs (growth rate, yield, mechanical properties).","PABLO TEJERO TRAPIELLA","100.0","12.3","35.1","1","[{""tag"": ""NOLO sensory improvement (body, foam, aroma)"", ""domain"": ""Brewing & Process"", ""theme"": ""NOLO/Sensory"", ""strength"": 0.25, ""tagScore"": 95, ""phrases"": [""foam""], ""domainMatch"": false}]"
"EMS-induced mutagenesis of Aspergillus terreus for enhanced xylanase production and subsequent biotransformation of sugarcane bagasse-derived xylose towards xylitol","11/03/2026 12:00","23","[""Byproducts & Circularity"",""Biotech applied""]","Satwika Das; Ramandeep Kaur; Naveen Kumar Bhukya; Kanimozhi Jeyaram; Ashish A. Prabhu","2026","10.1007/s00203-025-04702-8","https://doi.org/10.1007/s00203-025-04702-8","","Applies EMS mutagenesis to improve xylanase production in Aspergillus terreus, then uses the enzyme to saccharify bagasse and biotransforms the resulting xylose to xylitol with Yarrowia lipolytica, reporting titre and yield figures.","End-to-end blueprint from bagasse to a value-added polyol (xylitol), including strain improvement, hydrolysis and biotransformation steps.","RUBEN VERA DOMINGO;EDUARDO BARBOSA GORDO;JORDI ROYES BUISAN","98.6","38.4","61.5","2","[{""tag"": ""BSG solid-state fermentation (SSF) to enhance nutrition"", ""domain"": ""Byproducts & Circularity"", ""theme"": ""BSG"", ""strength"": 0.583, ""tagScore"": 88, ""phrases"": [""aspergillus""], ""domainMatch"": true}, {""tag"": ""CIP alternatives (chemical-free, enzyme, ozone, electrolyzed water)"", ""domain"": ""Brewing & Process"", ""theme"": ""CIP/Cleaning"", ""strength"": 0.25, ""tagScore"": 92, ""phrases"": [""enzyme""], ""domainMatch"": false}]"
"Valorization of Sugarcane Bagasse Via Pre-Pyrolysis Fermentation with Pleurotus ostreatus: Thermal Kinetics and Product Quality Enhancement","11/03/2026 11:00","22","[""Byproducts & Circularity""]","Budianto Budianto; Rinny Ermiyanti Yasin","2026","10.1007/s42250-025-01519-2","https://doi.org/10.1007/s42250-025-01519-2","[""PAYWALL""]","Uses Pleurotus ostreatus fermentation as a biological pretreatment before pyrolysis of sugarcane bagasse; reports reduced activation energy, earlier thermal decomposition, and changes in product yields and biochar quality.","Uses Pleurotus ostreatus fermentation as a biological pretreatment before pyrolysis of sugarcane bagasse; reports reduced activation energy, earlier thermal decomposition, and changes in product yields and biochar quality.","JORDI ROYES BUISAN;EDUARDO BARBOSA GORDO;RUBEN VERA DOMINGO","100.0","0.0","0.0","0","[]"
"Purification, and characterization of xylanase by Aspergillus krugeri AUMC 15912 utilizing sugarcane bagasse under solid-state fermentation conditions","11/03/2026 0:01","21","[""Biotech applied""]","Aya A. A. Abdel-Hafeez; Abdel-Raouf M. Khallil; Elhagag A. Hassan; Osama A. M. Al-Bedak","2026","10.1186/s12866-026-04742-0","https://doi.org/10.1186/s12866-026-04742-0","[""OPEN""]","Optimises SSF production of xylanase on sugarcane bagasse, then purifies and characterises the enzyme (molecular weight, pH/temperature optima, kinetics and inhibitor/salt sensitivity).","Provides an SSF + enzyme-performance package for bagasse upgrading; relevant if you want enzymatic hydrolysis, prebiotics or downstream bioconversions.","","86.1","100.0","92.8","4","[{""tag"": ""BSG solid-state fermentation (SSF) to enhance nutrition"", ""domain"": ""Byproducts & Circularity"", ""theme"": ""BSG"", ""strength"": 0.833, ""tagScore"": 88, ""phrases"": [""ssf"", ""aspergillus""], ""domainMatch"": false}, {""tag"": ""BSG valorization \u2013 protein hydrolysates & bioactive peptides"", ""domain"": ""Byproducts & Circularity"", ""theme"": ""BSG"", ""strength"": 0.625, ""tagScore"": 93, ""phrases"": [""enzymatic hydrolysis""], ""domainMatch"": false}, {""tag"": ""Coagulation/flocculation optimization for effluents"", ""domain"": ""Water & Environment"", ""theme"": ""Industrial effluent"", ""strength"": 0.5, ""tagScore"": 78, ""phrases"": [""pac""], ""domainMatch"": false}, {""tag"": ""CIP alternatives (chemical-free, enzyme, ozone, electrolyzed water)"", ""domain"": ""Brewing & Process"", ""theme"": ""CIP/Cleaning"", ""strength"": 0.25, ""tagScore"": 92, ""phrases"": [""enzyme""], ""domainMatch"": false}]"
"Mycosynthesis of Silica Nanoparticles from Sugarcane Bagasse Using Aspergillus niger MSF3: Optimization and Economic Assessment","10/03/2026 0:02","20","[""Materials & Packaging"",""Byproducts & Circularity""]","Mohini Yadav; Nancy George; Vagish Dwibedi","2026","10.1007/s12633-026-03666-8","https://doi.org/10.1007/s12633-026-03666-8","[""PAYWALL""]","Demonstrates fungal-mediated conversion of sugarcane bagasse into silica nanoparticles using Aspergillus niger, optimises key parameters via RSM, and provides a basic economic assessment suggesting lower cost than commercial SiNPs.","Shows a credible route from agro-waste to functional inorganic nanomaterials; useful for scouting high-margin valorisation options beyond energy/animal feed.","","88.0","50.1","66.4","2","[{""tag"": ""BSG solid-state fermentation (SSF) to enhance nutrition"", ""domain"": ""Byproducts & Circularity"", ""theme"": ""BSG"", ""strength"": 0.583, ""tagScore"": 88, ""phrases"": [""aspergillus""], ""domainMatch"": true}, {""tag"": ""Nanomaterials / advanced carbon for electrochemical applications"", ""domain"": ""Materials & Packaging"", ""theme"": ""Advanced materials"", ""strength"": 0.7, ""tagScore"": 65, ""phrases"": [""nanomaterials""], ""domainMatch"": true}]"
"Recent advances in chemical recycling and upcycling of plastic waste into valuable materials, chemicals, and energy: a comprehensive review","10/03/2026 11:00","19","[""Materials & Packaging""]","K. Jan; D. Deka; E. Yu; T. Lu; K. Li; H. Jiang; K. Nawaz; E. Webb; S. Ozcan; R. Zou; L. Dai; H. Lei; R. Ruan; X. Zhao; W. Chen","2026","10.1039/D5SU00506J","https://doi.org/10.1039/D5SU00506J","[""OPEN""]","Comprehensive review of solvent dissolution, catalytic depolymerisation and thermochemical routes for mixed plastics, emphasising selectivity drivers, contaminant handling, scale-up constraints and LCA/TEA considerations.","Informs packaging end‑of‑life strategy and design‑for‑recycling decisions by clarifying which chem‑recycling pathways are realistic under contamination and cost constraints.","PABLO TEJERO TRAPIELLA","100.0","61.8","78.6","2","[{""tag"": ""PEF \u2013 recyclability & end-of-life (mechanical/chemical)"", ""domain"": ""Materials & Packaging"", ""theme"": ""PEF"", ""strength"": 0.875, ""tagScore"": 92, ""phrases"": [""chemical recycling""], ""domainMatch"": true}, {""tag"": ""Coagulation/flocculation optimization for effluents"", ""domain"": ""Water & Environment"", ""theme"": ""Industrial effluent"", ""strength"": 0.5, ""tagScore"": 78, ""phrases"": [""pac""], ""domainMatch"": false}]"
"Rapid and Non-destructive Ethanol Quantification in Beer Using FTIR-ATR Spectroscopy and PLSR Modeling","17/03/2026 7:18","18","[""Analytics & Digital""]","Fatos Rexhepi; Dijana Blazhekovikj-Dimovska; Bahtir Hyseni; Artan Gashi","2026","10.1007/s00217-025-04975-9","https://link.springer.com/article/10.1007/s00217-025-04975-9","[""PAYWALL""]","Demonstrates that FTIR-ATR combined with partial least-squares regression accurately quantifies ethanol content in beer without sample preparation, proposing a rapid non-destructive QC method.","Validates a low-cost, rapid spectroscopic alternative to reference methods for routine ethanol QC in production, directly applicable to brewery in-line monitoring.","JORDI ROYES BUISAN","99.0","31.1","55.5","1","[{""tag"": ""PAT \u2013 spectroscopy (NIR/Raman/FTIR) for fermentation"", ""domain"": ""Analytics & Digital"", ""theme"": ""PAT"", ""strength"": 0.7, ""tagScore"": 86, ""phrases"": [""ftir""], ""domainMatch"": true}]"
"Treatment of landfill leachate and production of geopolymer using electrocoagulation sludge","10/03/2026 0:30","17","[""Water & Environment""]","A. Aşkın; H. K. Kırıkbıçak; E. Arıöz; Ü. Tezcan Ün","2026","10.1007/s13762-026-07095-3","https://doi.org/10.1007/s13762-026-07095-3","[""OPEN""]","Optimises electrocoagulation for high‑strength leachate and demonstrates valorisation of Al‑rich EC sludge into fly‑ash geopolymers, reducing disposal burden.","Gives a circular template: effluent polishing + sludge-to-material valorisation, useful for reducing total treatment cost and waste liabilities.","RUBEN VERA DOMINGO;JORDI ROYES BUISAN","94.0","0.0","0.0","0","[]"
"Struvite precipitation from source-separated human urine: mineralogical characterization, phosphorus release kinetics, and heavy metal safety assessment","10/03/2026 2:00","16","[""Water & Environment""]","Ricardo Franci Gonçalves; Regiane Pereira Roque; Yuri Nascimento Nariyoshi; Renata Estevam; Honerio Coutinho de Jesus","2026","10.1007/s11356-025-37380-6","https://doi.org/10.1007/s11356-025-37380-6","[""OPEN""]","Characterises struvite recovered from stored urine (mineralogy, phosphorus release kinetics) and assesses heavy‑metal safety to judge fertiliser suitability.","Directly informs nutrient recovery programmes: product quality, release behaviour and compliance risks when converting high‑P side streams into fertiliser.","RUBEN VERA DOMINGO;JORDI ROYES BUISAN","94.6","0.0","0.0","0","[]"
"Biofilm Properties and Their Implications for Cleaning Processes in the Food Industry – A Review","10/03/2026 1:00","15","[""Brewing & Process""]","Caroline Bachlechner; Elena Zand; Vincent Eisenrauch; Marc Mauermann; Henry Jäger; Felix Schottroff","2026","10.1016/j.jfp.2025.100695","https://doi.org/10.1016/j.jfp.2025.100695","[""OPEN""]","Reviews how biofilm structure, rheology and multispecies composition drive cleanability, and why bulk soil metrics often fail to predict CIP outcomes; highlights shear history and matrix heterogeneity as key determinants of resistance.","Improves CIP design/validation by translating 'biofilm physics' into practical levers (sequencing, shear, chemistry) and risk-based verification metrics.","PABLO TEJERO TRAPIELLA;MANUEL AGUINAGA CABREDO","100.0","0.0","0.0","0","[]"
"Valorization of brewing by-products: obtaining flavor-enhancing and antioxidant compounds from spent yeast","10/03/2026 0:10","14","[""Byproducts & Circularity""]","Antonela G. Garzón; Yanina Pavón; Marilin E. Aquino; Silvina R. Drago","2026","10.1039/D5FB00499C","https://doi.org/10.1039/D5FB00499C","[""OPEN""]","Uses response-surface optimisation of autolysis time and temperature to recover flavour‑enhancing compounds from spent brewer’s yeast, balancing umami-related free amino acids with phenolics/antioxidant activity and sensory side-notes.","Actionable route to convert BSY into a controllable flavour ingredient; provides optimisation logic and measurable targets for sensory + functionality.","RUBEN VERA DOMINGO;JORDI ROYES BUISAN","100.0","45.2","67.2","2","[{""tag"": ""BSY valorization \u2013 yeast extract (umami)"", ""domain"": ""Byproducts & Circularity"", ""theme"": ""BSY"", ""strength"": 0.7, ""tagScore"": 92, ""phrases"": [""autolysis""], ""domainMatch"": true}, {""tag"": ""Off-flavors in beer (metallic, phenolic, sulfur)"", ""domain"": ""Brewing & Process"", ""theme"": ""Quality/Sensory"", ""strength"": 0.25, ""tagScore"": 92, ""phrases"": [""phenolic""], ""domainMatch"": false}]"
"Valorisation of brewery spent grain for biogas production and nutrient-enriched bioslurry in sustainable agriculture","10/03/2026 1:00","13","[""Byproducts & Circularity""]","Tewodros Mulu; Bilhate Chala; Yezbie Kassa; Bernhard Freyer; Tarekegne Fentie; Marye Mulugeta; Dessie Tibebe","2026","10.1080/14786451.2026.2629665","https://doi.org/10.1080/14786451.2026.2629665","[""OPEN""]","Reviews anaerobic digestion of brewery spent grain (and co-digestion options) to produce biogas, and discusses use of nutrient‑enriched digestate/bioslurry as an agricultural input, including operational constraints and sustainability considerations.","Maps an 'energy + nutrients' valorisation route for BSG, helping prioritise configurations that improve waste cost, energy self-sufficiency and circularity outcomes.","RUBEN VERA DOMINGO;JORDI ROYES BUISAN","100.0","0.0","0.0","0","[]"
"Impact of different production methods on selected aroma compounds for non-alcoholic beers by developing an HS-SPME GC–MS method","10/03/2026 1:00","12","[""Brewing & Process""]","Sönke Kienitz; Hubert Kollmannsberger; Annsophie Schreff; Dennis Mayer; Christoph Neugrodda; Thomas Becker","2026","10.1016/j.foodchem.2026.147924","https://pubmed.ncbi.nlm.nih.gov/41539195/","[""OPEN""]","Compares production routes for non-alcoholic beer and validates an HS-SPME GC–MS workflow to quantify key aroma compounds; reports route-dependent shifts in volatiles relevant to sensory perception.","Direct lever for NOLO aroma QA/QC and process tuning (fermentation/dealcoholization trade-offs).","JORDI ROYES BUISAN;LUIS FERNANDO FRAGUA GONZALEZ","93.3","20.2","43.4","1","[{""tag"": ""Coagulation/flocculation optimization for effluents"", ""domain"": ""Water & Environment"", ""theme"": ""Industrial effluent"", ""strength"": 0.5, ""tagScore"": 78, ""phrases"": [""pac""], ""domainMatch"": false}]"
"Electrocoagulation of phosphates from alternating wastewaters utilising a hybrid set-up (conference session)","10/03/2026 0:01","11","[""Water & Environment""]","Noora Salonen; Kalle Salonen; Marko Suokas; Martti Latva","2026","10.1039/D5EW00965K","https://doi.org/10.1039/D5EW00965K","[""OPEN""]","Descripción de sesión técnica sobre electrocoagulación para remediación de fosfatos usando configuración híbrida de electrodos y distintos tipos de agua.","Aunque no es paper, es señal temprana aplicable a plantas sin depuración: opciones de EC para PO4 y condiciones operativas.","RUBEN VERA DOMINGO;JORDI ROYES BUISAN","90.9","0.0","0.0","0","[]"
